first_name,last_name,email,member_type,user_phone,user_mobile,user_designation,city_or_town,user_payment_method,Address_1,Address_2,Address_3,Address_1_pers,Address_2_pers,Address_3_pers,user_name_login
John,Johnson,john.johnson1@example.com,organisation,19987776665,19987776665,Consultant,Los Angeles,,,,Phoenix,254 Home Ave,Unit 13,Chicago,johnjohnson1
Michael,Martinez,michael.martinez2@example.com,organisation,19987776665,19987776665,,San Antonio,Bank Transfer,4772 Main St,,,4342 Home Ave,Unit 20,,michaelmartinez2
James,Brown,james.brown3@example.com,organisation,19987776665,19987776665,Specialist,New York,Cash,6915 Main St,,,1618 Home Ave,,Los Angeles,
Lisa,Miller,lisa.miller4@example.com,organisation,19987776665,19987776665,Supervisor,,PayPal,4231 Main St,,Los Angeles,6553 Home Ave,,,
John,Smith,john.smith5@example.com,organisation,19987776665,,Analyst,,Bank Transfer,,,Philadelphia,985 Home Ave,,Chicago,johnsmith5
Sarah,Miller,sarah.miller6@example.com,organisation,19987776665,19987776665,Developer,New York,Check,4732 Main St,,New York,2940 Home Ave,Unit 6,,sarahmiller6
David,Davis,david.davis7@example.com,organisation,19987776665,,Director,Houston,Check,7193 Main St,,Philadelphia,5350 Home Ave,,Phoenix,daviddavis7
Robert,Brown,robert.brown8@example.com,organisation,19987776665,,Developer,Houston,PayPal,3494 Main St,Apt 33,Los Angeles,3777 Home Ave,Unit 13,,robertbrown8
Sarah,Brown,sarah.brown9@example.com,organisation,19987776665,19987776665,Manager,,,,,Philadelphia,2969 Home Ave,Unit 2,Los Angeles,
Emily,Smith,emily.smith10@example.com,organisation,19987776665,19987776665,Director,Houston,,4707 Main St,,San Diego,9341 Home Ave,,,emilysmith10
